Token: VAL | Lexema: val | Linea: 8
Token: INT | Lexema: int | Linea: 8
Token: ID | Lexema: contadorGlobal | Linea: 8
Token: ASIGNACION | Lexema: Ͱ | Linea: 8
Token: LIT_INT | Lexema: 0 | Linea: 8
Token: FIN_EXPR | Lexema: » | Linea: 8
Token: VAL | Lexema: val | Linea: 9
Token: INT | Lexema: int | Linea: 9
Token: ID | Lexema: limiteGlobal | Linea: 9
Token: ASIGNACION | Lexema: Ͱ | Linea: 9
Token: LIT_INT | Lexema: 25 | Linea: 9
Token: FIN_EXPR | Lexema: » | Linea: 9
Token: VAL | Lexema: val | Linea: 10
Token: FLOAT | Lexema: float | Linea: 10
Token: ID | Lexema: temperaturaGlobal | Linea: 10
Token: ASIGNACION | Lexema: Ͱ | Linea: 10
Token: LIT_FLOAT | Lexema: 23.5 | Linea: 10
Token: FIN_EXPR | Lexema: » | Linea: 10
Token: VAL | Lexema: val | Linea: 11
Token: FLOAT | Lexema: float | Linea: 11
Token: ID | Lexema: voltajeGlobal | Linea: 11
Token: ASIGNACION | Lexema: Ͱ | Linea: 11
Token: LIT_FLOAT | Lexema: 3.3 | Linea: 11
Token: FIN_EXPR | Lexema: » | Linea: 11
Token: VAL | Lexema: val | Linea: 12
Token: BOOL | Lexema: bool | Linea: 12
Token: ID | Lexema: sistemaActivo | Linea: 12
Token: ASIGNACION | Lexema: Ͱ | Linea: 12
Token: LIT_BOOL | Lexema: true | Linea: 12
Token: FIN_EXPR | Lexema: » | Linea: 12
Token: VAL | Lexema: val | Linea: 13
Token: BOOL | Lexema: bool | Linea: 13
Token: ID | Lexema: modoSeguro | Linea: 13
Token: ASIGNACION | Lexema: Ͱ | Linea: 13
Token: LIT_BOOL | Lexema: false | Linea: 13
Token: FIN_EXPR | Lexema: » | Linea: 13
Token: VAL | Lexema: val | Linea: 14
Token: CHAR | Lexema: char | Linea: 14
Token: ID | Lexema: estadoGlobal | Linea: 14
Token: ASIGNACION | Lexema: Ͱ | Linea: 14
Token: LIT_CHAR | Lexema: 'A' | Linea: 14
Token: FIN_EXPR | Lexema: » | Linea: 14
Token: VAL | Lexema: val | Linea: 15
Token: STRING | Lexema: string | Linea: 15
Token: ID | Lexema: nombreSistema | Linea: 15
Token: ASIGNACION | Lexema: Ͱ | Linea: 15
Token: LIT_STRING | Lexema: "ChipControl" | Linea: 15
Token: FIN_EXPR | Lexema: » | Linea: 15
Token: VAL | Lexema: val | Linea: 19
Token: INT | Lexema: int | Linea: 19
Token: ID | Lexema: numeros | Linea: 19
Token: COR_INI | Lexema: ʃ: | Linea: 19
Token: LIT_INT | Lexema: 5 | Linea: 19
Token: COR_FIN | Lexema: :ʅ | Linea: 19
Token: FIN_EXPR | Lexema: » | Linea: 19
Token: VAL | Lexema: val | Linea: 20
Token: INT | Lexema: int | Linea: 20
Token: ID | Lexema: valores | Linea: 20
Token: COR_INI | Lexema: ʃ: | Linea: 20
Token: LIT_INT | Lexema: 5 | Linea: 20
Token: COR_FIN | Lexema: :ʅ | Linea: 20
Token: ASIGNACION | Lexema: Ͱ | Linea: 20
Token: BLOQUE_INI | Lexema: ¿: | Linea: 20
Token: LIT_INT | Lexema: 1 | Linea: 20
Token: COMA | Lexema: , | Linea: 20
Token: LIT_INT | Lexema: 2 | Linea: 20
Token: COMA | Lexema: , | Linea: 20
Token: LIT_INT | Lexema: 3 | Linea: 20
Token: COMA | Lexema: , | Linea: 20
Token: LIT_INT | Lexema: 4 | Linea: 20
Token: COMA | Lexema: , | Linea: 20
Token: LIT_INT | Lexema: 5 | Linea: 20
Token: BLOQUE_FIN | Lexema: :? | Linea: 20
Token: VAL | Lexema: val | Linea: 21
Token: FLOAT | Lexema: float | Linea: 21
Token: ID | Lexema: voltajes | Linea: 21
Token: COR_INI | Lexema: ʃ: | Linea: 21
Token: LIT_INT | Lexema: 4 | Linea: 21
Token: COR_FIN | Lexema: :ʅ | Linea: 21
Token: ASIGNACION | Lexema: Ͱ | Linea: 21
Token: BLOQUE_INI | Lexema: ¿: | Linea: 21
Token: LIT_FLOAT | Lexema: 1.5 | Linea: 21
Token: COMA | Lexema: , | Linea: 21
Token: LIT_FLOAT | Lexema: 2.5 | Linea: 21
Token: COMA | Lexema: , | Linea: 21
Token: LIT_FLOAT | Lexema: 3.5 | Linea: 21
Token: COMA | Lexema: , | Linea: 21
Token: LIT_FLOAT | Lexema: 4.5 | Linea: 21
Token: BLOQUE_FIN | Lexema: :? | Linea: 21
Token: INT | Lexema: int | Linea: 33
Token: ID | Lexema: obtenerLimite | Linea: 33
Token: PAR_INI | Lexema: є: | Linea: 33
Token: PAR_FIN | Lexema: :э | Linea: 33
Token: BLOQUE_INI | Lexema: ¿: | Linea: 33
Token: VAL | Lexema: val | Linea: 35
Token: INT | Lexema: int | Linea: 35
Token: ID | Lexema: resultado | Linea: 35
Token: ASIGNACION | Lexema: Ͱ | Linea: 35
Token: LIT_INT | Lexema: 25 | Linea: 35
Token: FIN_EXPR | Lexema: » | Linea: 35
Token: WRITE | Lexema: write | Linea: 37
Token: PAR_INI | Lexema: є: | Linea: 37
Token: ID | Lexema: resultado | Linea: 37
Token: PAR_FIN | Lexema: :э | Linea: 37
Token: FIN_EXPR | Lexema: » | Linea: 37
Token: RETURN | Lexema: return | Linea: 39
Token: ID | Lexema: resultado | Linea: 39
Token: FIN_EXPR | Lexema: » | Linea: 39
Token: BLOQUE_FIN | Lexema: :? | Linea: 41
Token: INT | Lexema: int | Linea: 47
Token: ID | Lexema: duplicar | Linea: 47
Token: PAR_INI | Lexema: є: | Linea: 47
Token: INT | Lexema: int | Linea: 47
Token: ID | Lexema: numero | Linea: 47
Token: PAR_FIN | Lexema: :э | Linea: 47
Token: BLOQUE_INI | Lexema: ¿: | Linea: 47
Token: VAL | Lexema: val | Linea: 49
Token: INT | Lexema: int | Linea: 49
Token: ID | Lexema: resultado | Linea: 49
Token: ASIGNACION | Lexema: Ͱ | Linea: 49
Token: ID | Lexema: numero | Linea: 49
Token: MULTIPLICACION | Lexema: * | Linea: 49
Token: LIT_INT | Lexema: 2 | Linea: 49
Token: FIN_EXPR | Lexema: » | Linea: 49
Token: RETURN | Lexema: return | Linea: 51
Token: ID | Lexema: resultado | Linea: 51
Token: FIN_EXPR | Lexema: » | Linea: 51
Token: BLOQUE_FIN | Lexema: :? | Linea: 53
Token: INT | Lexema: int | Linea: 59
Token: ID | Lexema: sumar | Linea: 59
Token: PAR_INI | Lexema: є: | Linea: 59
Token: INT | Lexema: int | Linea: 59
Token: ID | Lexema: numeroA | Linea: 59
Token: COMA | Lexema: , | Linea: 59
Token: INT | Lexema: int | Linea: 59
Token: ID | Lexema: numeroB | Linea: 59
Token: PAR_FIN | Lexema: :э | Linea: 59
Token: BLOQUE_INI | Lexema: ¿: | Linea: 59
Token: VAL | Lexema: val | Linea: 61
Token: INT | Lexema: int | Linea: 61
Token: ID | Lexema: resultado | Linea: 61
Token: ASIGNACION | Lexema: Ͱ | Linea: 61
Token: ID | Lexema: numeroA | Linea: 61
Token: SUMA | Lexema: + | Linea: 61
Token: ID | Lexema: numeroB | Linea: 61
Token: FIN_EXPR | Lexema: » | Linea: 61
Token: RETURN | Lexema: return | Linea: 63
Token: ID | Lexema: resultado | Linea: 63
Token: FIN_EXPR | Lexema: » | Linea: 63
Token: BLOQUE_FIN | Lexema: :? | Linea: 65
Token: FLOAT | Lexema: float | Linea: 67
Token: ID | Lexema: calcularVoltaje | Linea: 67
Token: PAR_INI | Lexema: є: | Linea: 67
Token: FLOAT | Lexema: float | Linea: 67
Token: ID | Lexema: resistencia | Linea: 67
Token: COMA | Lexema: , | Linea: 67
Token: FLOAT | Lexema: float | Linea: 67
Token: ID | Lexema: corriente | Linea: 67
Token: PAR_FIN | Lexema: :э | Linea: 67
Token: BLOQUE_INI | Lexema: ¿: | Linea: 67
Token: VAL | Lexema: val | Linea: 69
Token: FLOAT | Lexema: float | Linea: 69
Token: ID | Lexema: resultado | Linea: 69
Token: ASIGNACION | Lexema: Ͱ | Linea: 69
Token: ID | Lexema: resistencia | Linea: 69
Token: MULTIPLICACION | Lexema: * | Linea: 69
Token: ID | Lexema: corriente | Linea: 69
Token: FIN_EXPR | Lexema: » | Linea: 69
Token: RETURN | Lexema: return | Linea: 71
Token: ID | Lexema: resultado | Linea: 71
Token: FIN_EXPR | Lexema: » | Linea: 71
Token: BLOQUE_FIN | Lexema: :? | Linea: 73
Token: BOOL | Lexema: bool | Linea: 75
Token: ID | Lexema: compararValores | Linea: 75
Token: PAR_INI | Lexema: є: | Linea: 75
Token: INT | Lexema: int | Linea: 75
Token: ID | Lexema: valorA | Linea: 75
Token: COMA | Lexema: , | Linea: 75
Token: INT | Lexema: int | Linea: 75
Token: ID | Lexema: valorB | Linea: 75
Token: PAR_FIN | Lexema: :э | Linea: 75
Token: BLOQUE_INI | Lexema: ¿: | Linea: 75
Token: VAL | Lexema: val | Linea: 77
Token: BOOL | Lexema: bool | Linea: 77
Token: ID | Lexema: resultado | Linea: 77
Token: ASIGNACION | Lexema: Ͱ | Linea: 77
Token: COR_INI | Lexema: ʃ: | Linea: 77
Token: ID | Lexema: valorA | Linea: 77
Token: COR_FIN | Lexema: :ʅ | Linea: 77
Token: MENOR | Lexema: < | Linea: 77
Token: COR_INI | Lexema: ʃ: | Linea: 77
Token: ID | Lexema: valorB | Linea: 77
Token: COR_FIN | Lexema: :ʅ | Linea: 77
Token: FIN_EXPR | Lexema: » | Linea: 77
Token: RETURN | Lexema: return | Linea: 79
Token: ID | Lexema: resultado | Linea: 79
Token: FIN_EXPR | Lexema: » | Linea: 79
Token: BLOQUE_FIN | Lexema: :? | Linea: 81
Token: INT | Lexema: int | Linea: 87
Token: ID | Lexema: operaciones | Linea: 87
Token: PAR_INI | Lexema: є: | Linea: 87
Token: INT | Lexema: int | Linea: 87
Token: ID | Lexema: numeroA | Linea: 87
Token: COMA | Lexema: , | Linea: 87
Token: INT | Lexema: int | Linea: 87
Token: ID | Lexema: numeroB | Linea: 87
Token: PAR_FIN | Lexema: :э | Linea: 87
Token: BLOQUE_INI | Lexema: ¿: | Linea: 87
Token: VAL | Lexema: val | Linea: 89
Token: INT | Lexema: int | Linea: 89
Token: ID | Lexema: suma | Linea: 89
Token: ASIGNACION | Lexema: Ͱ | Linea: 89
Token: ID | Lexema: numeroA | Linea: 89
Token: SUMA | Lexema: + | Linea: 89
Token: ID | Lexema: numeroB | Linea: 89
Token: FIN_EXPR | Lexema: » | Linea: 89
Token: VAL | Lexema: val | Linea: 90
Token: INT | Lexema: int | Linea: 90
Token: ID | Lexema: resta | Linea: 90
Token: ASIGNACION | Lexema: Ͱ | Linea: 90
Token: ID | Lexema: numeroA | Linea: 90
Token: RESTA | Lexema: - | Linea: 90
Token: ID | Lexema: numeroB | Linea: 90
Token: FIN_EXPR | Lexema: » | Linea: 90
Token: VAL | Lexema: val | Linea: 91
Token: INT | Lexema: int | Linea: 91
Token: ID | Lexema: multiplicacion | Linea: 91
Token: ASIGNACION | Lexema: Ͱ | Linea: 91
Token: ID | Lexema: numeroA | Linea: 91
Token: MULTIPLICACION | Lexema: * | Linea: 91
Token: ID | Lexema: numeroB | Linea: 91
Token: FIN_EXPR | Lexema: » | Linea: 91
Token: VAL | Lexema: val | Linea: 92
Token: INT | Lexema: int | Linea: 92
Token: ID | Lexema: division | Linea: 92
Token: ASIGNACION | Lexema: Ͱ | Linea: 92
Token: ID | Lexema: numeroA | Linea: 92
Token: DIVISION_ENTERA | Lexema: // | Linea: 92
Token: ID | Lexema: numeroB | Linea: 92
Token: FIN_EXPR | Lexema: » | Linea: 92
Token: VAL | Lexema: val | Linea: 93
Token: INT | Lexema: int | Linea: 93
Token: ID | Lexema: residuo | Linea: 93
Token: ASIGNACION | Lexema: Ͱ | Linea: 93
Token: ID | Lexema: numeroA | Linea: 93
Token: MODULO | Lexema: mod | Linea: 93
Token: ID | Lexema: numeroB | Linea: 93
Token: FIN_EXPR | Lexema: » | Linea: 93
Token: VAL | Lexema: val | Linea: 94
Token: INT | Lexema: int | Linea: 94
Token: ID | Lexema: potencia | Linea: 94
Token: ASIGNACION | Lexema: Ͱ | Linea: 94
Token: ID | Lexema: numeroA | Linea: 94
